factor,total,s1,s2,s3,s4,s5,s6
"Numărul total al elevilor de clasa a VIII-a participanți",12433,2019,2123,2289,1758,1576,2668
"Numărul total al elevilor de clasa a VIII-a participanți care au răspuns la chestionar",9911,1331,1705,1992,1345,1242,2296
"Numărul total al elevilor de clasa a VIII-a participanți care au început, dar nu au finalizat completarea chestionarului",192,21,28,39,35,26,43
"Numărul total al elevilor de clasa a VIII-a participanți care nu au răspuns la chestionar",2330,667,390,258,378,308,329
"Numărul total al elevilor de clasa a VIII-a participanți care au răspuns la chestionar și doresc să continue studiile după terminarea clasei a VIII-a",9852,1323,1697,1969,1340,1232,2291
"Numărul total al elevilor de clasa a VIII-a participanți care au răspuns la chestionar, dar nu doresc să continue studiile după terminarea clasei a VIII-a",59,8,8,23,5,10,5
